2026-04-14 10:06:00: time=2026-04-14T10:06:00.481Z level=INFO msg="Running: claude "
2026-04-14 10:06:00: time=2026-04-14T10:06:00.486Z level=INFO msg="Allowed hosts: localhost, 127.0.0.1, ::1, dev.otherstuff.studio, dev.otherstuff.ai"
2026-04-14 10:06:00: time=2026-04-14T10:06:00.486Z level=INFO msg="Allowed origins: *"
2026-04-14 10:06:00: time=2026-04-14T10:06:00.486Z level=INFO msg="Created temporary directory for uploads" tempDir=/tmp/agentapi-uploads-3041856554
2026-04-14 10:06:00: time=2026-04-14T10:06:00.507Z level=INFO msg="Starting server on port" port=3703
2026-04-14 10:06:00: time=2026-04-14T10:06:00.691Z level=INFO msg="New subscriber" subscriberId=0
2026-04-14 10:27:43: time=2026-04-14T10:27:43.337Z level=INFO msg="Context done" subscriberId=0
2026-04-14 10:27:44: time=2026-04-14T10:27:44.353Z level=INFO msg="New subscriber" subscriberId=1
2026-04-14 10:32:43: time=2026-04-14T10:32:43.337Z level=INFO msg="Context done" subscriberId=1
2026-04-14 10:32:44: time=2026-04-14T10:32:44.344Z level=INFO msg="New subscriber" subscriberId=2
2026-04-14 10:40:43: time=2026-04-14T10:40:43.337Z level=INFO msg="Context done" subscriberId=2
2026-04-14 10:40:44: time=2026-04-14T10:40:44.346Z level=INFO msg="New subscriber" subscriberId=3
2026-04-14 10:45:43: time=2026-04-14T10:45:43.337Z level=INFO msg="Context done" subscriberId=3
2026-04-14 10:45:44: time=2026-04-14T10:45:44.344Z level=INFO msg="New subscriber" subscriberId=4
2026-04-14 10:56:43: time=2026-04-14T10:56:43.337Z level=INFO msg="Context done" subscriberId=4
2026-04-14 10:56:44: time=2026-04-14T10:56:44.345Z level=INFO msg="New subscriber" subscriberId=5
2026-04-14 11:09:43: time=2026-04-14T11:09:43.337Z level=INFO msg="Context done" subscriberId=5
2026-04-14 11:09:44: time=2026-04-14T11:09:44.347Z level=INFO msg="New subscriber" subscriberId=6
2026-04-14 11:26:43: time=2026-04-14T11:26:43.337Z level=INFO msg="Context done" subscriberId=6
2026-04-14 11:26:44: time=2026-04-14T11:26:44.343Z level=INFO msg="New subscriber" subscriberId=7
2026-04-14 11:36:43: time=2026-04-14T11:36:43.337Z level=INFO msg="Context done" subscriberId=7
2026-04-14 11:36:44: time=2026-04-14T11:36:44.344Z level=INFO msg="New subscriber" subscriberId=8
2026-04-14 11:41:43: time=2026-04-14T11:41:43.337Z level=INFO msg="Context done" subscriberId=8
2026-04-14 11:41:44: time=2026-04-14T11:41:44.341Z level=INFO msg="New subscriber" subscriberId=9
2026-04-14 11:46:43: time=2026-04-14T11:46:43.337Z level=INFO msg="Context done" subscriberId=9
2026-04-14 11:46:44: time=2026-04-14T11:46:44.343Z level=INFO msg="New subscriber" subscriberId=10
2026-04-14 11:59:43: time=2026-04-14T11:59:43.337Z level=INFO msg="Context done" subscriberId=10
2026-04-14 11:59:44: time=2026-04-14T11:59:44.339Z level=INFO msg="New subscriber" subscriberId=11
2026-04-14 12:04:43: time=2026-04-14T12:04:43.337Z level=INFO msg="Context done" subscriberId=11
2026-04-14 12:04:44: time=2026-04-14T12:04:44.342Z level=INFO msg="New subscriber" subscriberId=12
2026-04-14 12:09:43: time=2026-04-14T12:09:43.338Z level=INFO msg="Context done" subscriberId=12
2026-04-14 12:09:44: time=2026-04-14T12:09:44.340Z level=INFO msg="New subscriber" subscriberId=13
2026-04-14 12:14:43: time=2026-04-14T12:14:43.337Z level=INFO msg="Context done" subscriberId=13
2026-04-14 12:14:44: time=2026-04-14T12:14:44.347Z level=INFO msg="New subscriber" subscriberId=14
2026-04-14 12:19:43: time=2026-04-14T12:19:43.337Z level=INFO msg="Context done" subscriberId=14
2026-04-14 12:19:44: time=2026-04-14T12:19:44.341Z level=INFO msg="New subscriber" subscriberId=15
2026-04-14 12:26:43: time=2026-04-14T12:26:43.337Z level=INFO msg="Context done" subscriberId=15
2026-04-14 12:26:44: time=2026-04-14T12:26:44.339Z level=INFO msg="New subscriber" subscriberId=16
2026-04-14 12:28:31: time=2026-04-14T12:28:31.538Z level=INFO msg="Context done" subscriberId=16
2026-04-14 13:17:36: time=2026-04-14T13:17:36.534Z level=INFO msg="New subscriber" subscriberId=17
2026-04-14 13:18:32: time=2026-04-14T13:18:32.389Z level=INFO msg="Context done" subscriberId=17
2026-04-14 13:34:16: time=2026-04-14T13:34:16.481Z level=INFO msg="New subscriber" subscriberId=18
2026-04-14 13:35:16: time=2026-04-14T13:35:16.568Z level=INFO msg="Context done" subscriberId=18
2026-04-14 13:49:58: time=2026-04-14T13:49:58.618Z level=INFO msg="New subscriber" subscriberId=19
2026-04-14 13:52:31: time=2026-04-14T13:52:31.378Z level=INFO msg="Context done" subscriberId=19
2026-04-14 15:02:53: time=2026-04-14T15:02:53.599Z level=INFO msg="New subscriber" subscriberId=20
2026-04-14 15:06:23: time=2026-04-14T15:06:23.780Z level=INFO msg="Context done" subscriberId=20
2026-04-14 17:02:45: time=2026-04-14T17:02:45.969Z level=INFO msg="New subscriber" subscriberId=21
2026-04-14 17:04:46: time=2026-04-14T17:04:46.113Z level=INFO msg="Context done" subscriberId=21
2026-04-14 18:12:54: time=2026-04-14T18:12:54.478Z level=INFO msg="New subscriber" subscriberId=22
2026-04-14 18:14:24: time=2026-04-14T18:14:24.677Z level=INFO msg="Context done" subscriberId=22
2026-04-14 19:19:22: time=2026-04-14T19:19:22.653Z level=INFO msg="New subscriber" subscriberId=23
2026-04-14 19:20:52: time=2026-04-14T19:20:52.756Z level=INFO msg="Context done" subscriberId=23
2026-04-14 20:29:07: time=2026-04-14T20:29:07.793Z level=INFO msg="New subscriber" subscriberId=24
2026-04-14 20:30:07: time=2026-04-14T20:30:07.997Z level=INFO msg="Context done" subscriberId=24
2026-04-14 21:34:57: time=2026-04-14T21:34:57.223Z level=INFO msg="New subscriber" subscriberId=25
2026-04-14 21:35:57: time=2026-04-14T21:35:57.375Z level=INFO msg="Context done" subscriberId=25
2026-04-14 22:49:23: time=2026-04-14T22:49:23.510Z level=INFO msg="New subscriber" subscriberId=26
2026-04-14 22:51:23: time=2026-04-14T22:51:23.663Z level=INFO msg="Context done" subscriberId=26
2026-04-14 23:53:41: time=2026-04-14T23:53:41.737Z level=INFO msg="New subscriber" subscriberId=27
2026-04-14 23:55:11: time=2026-04-14T23:55:11.911Z level=INFO msg="Context done" subscriberId=27
2026-04-15 03:49:43: time=2026-04-15T03:49:43.818Z level=INFO msg="New subscriber" subscriberId=28
2026-04-15 03:49:43: time=2026-04-15T03:49:43.910Z level=INFO msg="New subscriber" subscriberId=29
2026-04-15 03:56:43: time=2026-04-15T03:56:43.337Z level=INFO msg="Context done" subscriberId=28
2026-04-15 03:56:43: time=2026-04-15T03:56:43.337Z level=INFO msg="Context done" subscriberId=29
2026-04-15 03:56:44: time=2026-04-15T03:56:44.339Z level=INFO msg="New subscriber" subscriberId=30
2026-04-15 03:56:44: time=2026-04-15T03:56:44.339Z level=INFO msg="New subscriber" subscriberId=31
2026-04-15 04:01:43: time=2026-04-15T04:01:43.337Z level=INFO msg="Context done" subscriberId=30
2026-04-15 04:01:43: time=2026-04-15T04:01:43.337Z level=INFO msg="Context done" subscriberId=31
2026-04-15 04:01:44: time=2026-04-15T04:01:44.343Z level=INFO msg="New subscriber" subscriberId=32
2026-04-15 04:01:44: time=2026-04-15T04:01:44.343Z level=INFO msg="New subscriber" subscriberId=33
2026-04-15 04:06:43: time=2026-04-15T04:06:43.337Z level=INFO msg="Context done" subscriberId=33
2026-04-15 04:06:43: time=2026-04-15T04:06:43.337Z level=INFO msg="Context done" subscriberId=32
2026-04-15 04:06:44: time=2026-04-15T04:06:44.351Z level=INFO msg="New subscriber" subscriberId=34
2026-04-15 04:06:44: time=2026-04-15T04:06:44.351Z level=INFO msg="New subscriber" subscriberId=35
2026-04-15 04:11:43: time=2026-04-15T04:11:43.337Z level=INFO msg="Context done" subscriberId=35
2026-04-15 04:11:43: time=2026-04-15T04:11:43.337Z level=INFO msg="Context done" subscriberId=34
2026-04-15 04:11:44: time=2026-04-15T04:11:44.350Z level=INFO msg="New subscriber" subscriberId=37
2026-04-15 04:11:44: time=2026-04-15T04:11:44.350Z level=INFO msg="New subscriber" subscriberId=36
2026-04-15 04:16:43: time=2026-04-15T04:16:43.337Z level=INFO msg="Context done" subscriberId=36
2026-04-15 04:16:43: time=2026-04-15T04:16:43.337Z level=INFO msg="Context done" subscriberId=37
2026-04-15 04:16:44: time=2026-04-15T04:16:44.341Z level=INFO msg="New subscriber" subscriberId=38
2026-04-15 04:16:44: time=2026-04-15T04:16:44.341Z level=INFO msg="New subscriber" subscriberId=39
2026-04-15 04:21:43: time=2026-04-15T04:21:43.337Z level=INFO msg="Context done" subscriberId=38
2026-04-15 04:21:43: time=2026-04-15T04:21:43.337Z level=INFO msg="Context done" subscriberId=39
2026-04-15 04:21:44: time=2026-04-15T04:21:44.339Z level=INFO msg="New subscriber" subscriberId=40
2026-04-15 04:21:44: time=2026-04-15T04:21:44.340Z level=INFO msg="New subscriber" subscriberId=41
2026-04-15 04:26:43: time=2026-04-15T04:26:43.337Z level=INFO msg="Context done" subscriberId=41
2026-04-15 04:26:43: time=2026-04-15T04:26:43.337Z level=INFO msg="Context done" subscriberId=40
2026-04-15 04:26:44: time=2026-04-15T04:26:44.342Z level=INFO msg="New subscriber" subscriberId=42
2026-04-15 04:26:44: time=2026-04-15T04:26:44.342Z level=INFO msg="New subscriber" subscriberId=43
2026-04-15 04:31:43: time=2026-04-15T04:31:43.337Z level=INFO msg="Context done" subscriberId=43
2026-04-15 04:31:43: time=2026-04-15T04:31:43.337Z level=INFO msg="Context done" subscriberId=42
2026-04-15 04:31:44: time=2026-04-15T04:31:44.340Z level=INFO msg="New subscriber" subscriberId=44
2026-04-15 04:31:44: time=2026-04-15T04:31:44.340Z level=INFO msg="New subscriber" subscriberId=45
2026-04-15 04:36:43: time=2026-04-15T04:36:43.337Z level=INFO msg="Context done" subscriberId=44
2026-04-15 04:36:43: time=2026-04-15T04:36:43.337Z level=INFO msg="Context done" subscriberId=45
2026-04-15 04:36:44: time=2026-04-15T04:36:44.349Z level=INFO msg="New subscriber" subscriberId=47
2026-04-15 04:36:44: time=2026-04-15T04:36:44.349Z level=INFO msg="New subscriber" subscriberId=46
2026-04-15 04:41:43: time=2026-04-15T04:41:43.337Z level=INFO msg="Context done" subscriberId=46
