2026-04-16 04:28:43: time=2026-04-16T04:28:43.320Z level=INFO msg="Running: claude "
2026-04-16 04:28:43: time=2026-04-16T04:28:43.324Z level=INFO msg="Allowed hosts: localhost, 127.0.0.1, ::1, dev.otherstuff.studio, dev.otherstuff.ai"
2026-04-16 04:28:43: time=2026-04-16T04:28:43.324Z level=INFO msg="Allowed origins: *"
2026-04-16 04:28:43: time=2026-04-16T04:28:43.324Z level=INFO msg="Created temporary directory for uploads" tempDir=/tmp/agentapi-uploads-2190439562
2026-04-16 04:28:43: time=2026-04-16T04:28:43.340Z level=INFO msg="Starting server on port" port=3705
2026-04-16 04:28:43: time=2026-04-16T04:28:43.618Z level=INFO msg="New subscriber" subscriberId=0
2026-04-16 04:40:19: time=2026-04-16T04:40:19.771Z level=INFO msg="Context done" subscriberId=0
2026-04-16 04:40:20: time=2026-04-16T04:40:20.783Z level=INFO msg="New subscriber" subscriberId=1
2026-04-16 04:49:19: time=2026-04-16T04:49:19.772Z level=INFO msg="Context done" subscriberId=1
2026-04-16 04:49:20: time=2026-04-16T04:49:20.777Z level=INFO msg="New subscriber" subscriberId=2
2026-04-16 05:08:19: time=2026-04-16T05:08:19.772Z level=INFO msg="Context done" subscriberId=2
2026-04-16 05:08:20: time=2026-04-16T05:08:20.778Z level=INFO msg="New subscriber" subscriberId=3
2026-04-16 05:13:19: time=2026-04-16T05:13:19.771Z level=INFO msg="Context done" subscriberId=3
2026-04-16 05:13:20: time=2026-04-16T05:13:20.782Z level=INFO msg="New subscriber" subscriberId=4
2026-04-16 05:18:19: time=2026-04-16T05:18:19.772Z level=INFO msg="Context done" subscriberId=4
2026-04-16 05:18:20: time=2026-04-16T05:18:20.778Z level=INFO msg="New subscriber" subscriberId=5
2026-04-16 05:23:19: time=2026-04-16T05:23:19.772Z level=INFO msg="Context done" subscriberId=5
2026-04-16 05:23:20: time=2026-04-16T05:23:20.779Z level=INFO msg="New subscriber" subscriberId=6
2026-04-16 05:31:19: time=2026-04-16T05:31:19.771Z level=INFO msg="Context done" subscriberId=6
2026-04-16 05:31:20: time=2026-04-16T05:31:20.774Z level=INFO msg="New subscriber" subscriberId=7
2026-04-16 05:37:19: time=2026-04-16T05:37:19.772Z level=INFO msg="Context done" subscriberId=7
2026-04-16 05:37:20: time=2026-04-16T05:37:20.781Z level=INFO msg="New subscriber" subscriberId=8
2026-04-16 05:42:19: time=2026-04-16T05:42:19.771Z level=INFO msg="Context done" subscriberId=8
2026-04-16 05:42:20: time=2026-04-16T05:42:20.776Z level=INFO msg="New subscriber" subscriberId=9
2026-04-16 05:50:19: time=2026-04-16T05:50:19.772Z level=INFO msg="Context done" subscriberId=9
2026-04-16 05:50:20: time=2026-04-16T05:50:20.781Z level=INFO msg="New subscriber" subscriberId=10
2026-04-16 06:01:19: time=2026-04-16T06:01:19.772Z level=INFO msg="Context done" subscriberId=10
2026-04-16 06:01:20: time=2026-04-16T06:01:20.774Z level=INFO msg="New subscriber" subscriberId=11
2026-04-16 06:03:20: time=2026-04-16T06:03:20.857Z level=INFO msg="Context done" subscriberId=11
2026-04-16 06:31:04: time=2026-04-16T06:31:04.524Z level=INFO msg="New subscriber" subscriberId=12
2026-04-16 06:43:19: time=2026-04-16T06:43:19.771Z level=INFO msg="Context done" subscriberId=12
2026-04-16 06:43:20: time=2026-04-16T06:43:20.778Z level=INFO msg="New subscriber" subscriberId=13
2026-04-16 06:55:19: time=2026-04-16T06:55:19.772Z level=INFO msg="Context done" subscriberId=13
2026-04-16 06:55:20: time=2026-04-16T06:55:20.777Z level=INFO msg="New subscriber" subscriberId=14
2026-04-16 07:14:19: time=2026-04-16T07:14:19.772Z level=INFO msg="Context done" subscriberId=14
2026-04-16 07:14:20: time=2026-04-16T07:14:20.779Z level=INFO msg="New subscriber" subscriberId=15
2026-04-16 07:21:19: time=2026-04-16T07:21:19.771Z level=INFO msg="Context done" subscriberId=15
2026-04-16 07:21:20: time=2026-04-16T07:21:20.778Z level=INFO msg="New subscriber" subscriberId=16
2026-04-16 07:29:37: time=2026-04-16T07:29:37.285Z level=INFO msg="New subscriber" subscriberId=17
2026-04-16 07:30:04: time=2026-04-16T07:30:04.849Z level=INFO msg="Context done" subscriberId=16
2026-04-16 07:38:03: time=2026-04-16T07:38:03.768Z level=INFO msg="New subscriber" subscriberId=18
2026-04-16 07:38:04: time=2026-04-16T07:38:04.074Z level=INFO msg="Context done" subscriberId=17
2026-04-16 07:48:19: time=2026-04-16T07:48:19.772Z level=INFO msg="Context done" subscriberId=18
2026-04-16 07:48:20: time=2026-04-16T07:48:20.777Z level=INFO msg="New subscriber" subscriberId=19
2026-04-16 07:53:19: time=2026-04-16T07:53:19.772Z level=INFO msg="Context done" subscriberId=19
2026-04-16 07:53:20: time=2026-04-16T07:53:20.781Z level=INFO msg="New subscriber" subscriberId=20
2026-04-16 07:58:19: time=2026-04-16T07:58:19.772Z level=INFO msg="Context done" subscriberId=20
2026-04-16 07:58:20: time=2026-04-16T07:58:20.784Z level=INFO msg="New subscriber" subscriberId=21
2026-04-16 08:03:19: time=2026-04-16T08:03:19.771Z level=INFO msg="Context done" subscriberId=21
2026-04-16 08:03:20: time=2026-04-16T08:03:20.777Z level=INFO msg="New subscriber" subscriberId=22
2026-04-16 08:08:19: time=2026-04-16T08:08:19.771Z level=INFO msg="Context done" subscriberId=22
2026-04-16 08:08:20: time=2026-04-16T08:08:20.777Z level=INFO msg="New subscriber" subscriberId=23
2026-04-16 08:09:24: time=2026-04-16T08:09:24.412Z level=INFO msg="New subscriber" subscriberId=24
2026-04-16 08:16:19: time=2026-04-16T08:16:19.772Z level=INFO msg="Context done" subscriberId=23
2026-04-16 08:16:19: time=2026-04-16T08:16:19.772Z level=INFO msg="Context done" subscriberId=24
2026-04-16 08:16:20: time=2026-04-16T08:16:20.777Z level=INFO msg="New subscriber" subscriberId=25
2026-04-16 08:16:20: time=2026-04-16T08:16:20.777Z level=INFO msg="New subscriber" subscriberId=26
2026-04-16 08:18:20: time=2026-04-16T08:18:20.853Z level=INFO msg="Context done" subscriberId=25
2026-04-16 08:21:19: time=2026-04-16T08:21:19.771Z level=INFO msg="Context done" subscriberId=26
2026-04-16 08:21:20: time=2026-04-16T08:21:20.780Z level=INFO msg="New subscriber" subscriberId=27
2026-04-16 08:26:19: time=2026-04-16T08:26:19.771Z level=INFO msg="Context done" subscriberId=27
2026-04-16 08:26:20: time=2026-04-16T08:26:20.773Z level=INFO msg="New subscriber" subscriberId=28
2026-04-16 08:31:19: time=2026-04-16T08:31:19.771Z level=INFO msg="Context done" subscriberId=28
2026-04-16 08:31:20: time=2026-04-16T08:31:20.777Z level=INFO msg="New subscriber" subscriberId=29
2026-04-16 08:36:19: time=2026-04-16T08:36:19.772Z level=INFO msg="Context done" subscriberId=29
2026-04-16 08:36:20: time=2026-04-16T08:36:20.779Z level=INFO msg="New subscriber" subscriberId=30
2026-04-16 08:41:19: time=2026-04-16T08:41:19.772Z level=INFO msg="Context done" subscriberId=30
2026-04-16 08:41:20: time=2026-04-16T08:41:20.779Z level=INFO msg="New subscriber" subscriberId=31
2026-04-16 08:49:19: time=2026-04-16T08:49:19.771Z level=INFO msg="Context done" subscriberId=31
2026-04-16 08:49:20: time=2026-04-16T08:49:20.778Z level=INFO msg="New subscriber" subscriberId=32
2026-04-16 08:59:19: time=2026-04-16T08:59:19.771Z level=INFO msg="Context done" subscriberId=32
2026-04-16 08:59:20: time=2026-04-16T08:59:20.776Z level=INFO msg="New subscriber" subscriberId=33
2026-04-16 09:11:19: time=2026-04-16T09:11:19.772Z level=INFO msg="Context done" subscriberId=33
2026-04-16 09:11:20: time=2026-04-16T09:11:20.780Z level=INFO msg="New subscriber" subscriberId=34
2026-04-16 09:16:19: time=2026-04-16T09:16:19.772Z level=INFO msg="Context done" subscriberId=34
2026-04-16 09:16:20: time=2026-04-16T09:16:20.777Z level=INFO msg="New subscriber" subscriberId=35
2026-04-16 09:21:19: time=2026-04-16T09:21:19.771Z level=INFO msg="Context done" subscriberId=35
2026-04-16 09:21:20: time=2026-04-16T09:21:20.779Z level=INFO msg="New subscriber" subscriberId=36
2026-04-16 09:27:19: time=2026-04-16T09:27:19.772Z level=INFO msg="Context done" subscriberId=36
2026-04-16 09:27:20: time=2026-04-16T09:27:20.777Z level=INFO msg="New subscriber" subscriberId=37
2026-04-16 09:32:19: time=2026-04-16T09:32:19.772Z level=INFO msg="Context done" subscriberId=37
2026-04-16 09:32:20: time=2026-04-16T09:32:20.779Z level=INFO msg="New subscriber" subscriberId=38
2026-04-16 09:37:19: time=2026-04-16T09:37:19.772Z level=INFO msg="Context done" subscriberId=38
2026-04-16 09:37:20: time=2026-04-16T09:37:20.774Z level=INFO msg="New subscriber" subscriberId=39
2026-04-16 09:42:19: time=2026-04-16T09:42:19.772Z level=INFO msg="Context done" subscriberId=39
2026-04-16 09:42:20: time=2026-04-16T09:42:20.777Z level=INFO msg="New subscriber" subscriberId=40
2026-04-16 09:47:19: time=2026-04-16T09:47:19.771Z level=INFO msg="Context done" subscriberId=40
2026-04-16 09:47:20: time=2026-04-16T09:47:20.778Z level=INFO msg="New subscriber" subscriberId=41
2026-04-16 09:52:19: time=2026-04-16T09:52:19.772Z level=INFO msg="Context done" subscriberId=41
2026-04-16 09:52:20: time=2026-04-16T09:52:20.781Z level=INFO msg="New subscriber" subscriberId=42
2026-04-16 09:57:19: time=2026-04-16T09:57:19.771Z level=INFO msg="Context done" subscriberId=42
2026-04-16 09:57:20: time=2026-04-16T09:57:20.773Z level=INFO msg="New subscriber" subscriberId=43
2026-04-16 10:02:19: time=2026-04-16T10:02:19.772Z level=INFO msg="Context done" subscriberId=43
2026-04-16 10:02:20: time=2026-04-16T10:02:20.776Z level=INFO msg="New subscriber" subscriberId=44
2026-04-16 10:07:19: time=2026-04-16T10:07:19.772Z level=INFO msg="Context done" subscriberId=44
2026-04-16 10:07:20: time=2026-04-16T10:07:20.776Z level=INFO msg="New subscriber" subscriberId=45
2026-04-16 10:12:19: time=2026-04-16T10:12:19.771Z level=INFO msg="Context done" subscriberId=45
2026-04-16 10:12:20: time=2026-04-16T10:12:20.779Z level=INFO msg="New subscriber" subscriberId=46
2026-04-16 10:17:19: time=2026-04-16T10:17:19.771Z level=INFO msg="Context done" subscriberId=46
2026-04-16 10:17:20: time=2026-04-16T10:17:20.775Z level=INFO msg="New subscriber" subscriberId=47
2026-04-16 10:22:19: time=2026-04-16T10:22:19.771Z level=INFO msg="Context done" subscriberId=47
2026-04-16 10:22:20: time=2026-04-16T10:22:20.777Z level=INFO msg="New subscriber" subscriberId=48
2026-04-16 10:27:19: time=2026-04-16T10:27:19.772Z level=INFO msg="Context done" subscriberId=48
2026-04-16 10:27:20: time=2026-04-16T10:27:20.775Z level=INFO msg="New subscriber" subscriberId=49
2026-04-16 10:33:19: time=2026-04-16T10:33:19.771Z level=INFO msg="Context done" subscriberId=49
2026-04-16 10:33:20: time=2026-04-16T10:33:20.774Z level=INFO msg="New subscriber" subscriberId=50
2026-04-16 10:38:19: time=2026-04-16T10:38:19.771Z level=INFO msg="Context done" subscriberId=50
2026-04-16 10:38:20: time=2026-04-16T10:38:20.774Z level=INFO msg="New subscriber" subscriberId=51
2026-04-16 10:43:19: time=2026-04-16T10:43:19.771Z level=INFO msg="Context done" subscriberId=51
2026-04-16 10:43:20: time=2026-04-16T10:43:20.779Z level=INFO msg="New subscriber" subscriberId=52
2026-04-16 10:48:19: time=2026-04-16T10:48:19.771Z level=INFO msg="Context done" subscriberId=52
2026-04-16 10:48:20: time=2026-04-16T10:48:20.777Z level=INFO msg="New subscriber" subscriberId=53
2026-04-16 10:57:19: time=2026-04-16T10:57:19.771Z level=INFO msg="Context done" subscriberId=53
2026-04-16 10:57:20: time=2026-04-16T10:57:20.780Z level=INFO msg="New subscriber" subscriberId=54
2026-04-16 11:02:19: time=2026-04-16T11:02:19.772Z level=INFO msg="Context done" subscriberId=54
2026-04-16 11:02:20: time=2026-04-16T11:02:20.778Z level=INFO msg="New subscriber" subscriberId=55
2026-04-16 11:07:19: time=2026-04-16T11:07:19.771Z level=INFO msg="Context done" subscriberId=55
2026-04-16 11:07:20: time=2026-04-16T11:07:20.777Z level=INFO msg="New subscriber" subscriberId=56
2026-04-16 11:10:51: time=2026-04-16T11:10:51.561Z level=INFO msg="Context done" subscriberId=56
2026-04-16 11:10:53: time=2026-04-16T11:10:53.152Z level=INFO msg="New subscriber" subscriberId=57
2026-04-16 11:15:19: time=2026-04-16T11:15:19.772Z level=INFO msg="Context done" subscriberId=57
2026-04-16 11:15:20: time=2026-04-16T11:15:20.777Z level=INFO msg="New subscriber" subscriberId=58
2026-04-16 11:19:44: time=2026-04-16T11:19:44.075Z level=INFO msg="Context done" subscriberId=58
2026-04-16 11:19:45: time=2026-04-16T11:19:45.091Z level=INFO msg="New subscriber" subscriberId=59
2026-04-16 11:27:19: time=2026-04-16T11:27:19.771Z level=INFO msg="Context done" subscriberId=59
2026-04-16 11:27:20: time=2026-04-16T11:27:20.776Z level=INFO msg="New subscriber" subscriberId=60
2026-04-16 11:32:19: time=2026-04-16T11:32:19.772Z level=INFO msg="Context done" subscriberId=60
2026-04-16 11:32:20: time=2026-04-16T11:32:20.780Z level=INFO msg="New subscriber" subscriberId=61
2026-04-16 11:37:19: time=2026-04-16T11:37:19.772Z level=INFO msg="Context done" subscriberId=61
2026-04-16 11:37:20: time=2026-04-16T11:37:20.776Z level=INFO msg="New subscriber" subscriberId=62
2026-04-16 11:38:06: time=2026-04-16T11:38:06.491Z level=INFO msg="New subscriber" subscriberId=63
2026-04-16 11:38:15: time=2026-04-16T11:38:15.592Z level=INFO msg="Context done" subscriberId=62
2026-04-16 11:42:19: time=2026-04-16T11:42:19.772Z level=INFO msg="Context done" subscriberId=63
2026-04-16 11:42:20: time=2026-04-16T11:42:20.776Z level=INFO msg="New subscriber" subscriberId=64
2026-04-16 11:47:19: time=2026-04-16T11:47:19.772Z level=INFO msg="Context done" subscriberId=64
2026-04-16 11:47:20: time=2026-04-16T11:47:20.784Z level=INFO msg="New subscriber" subscriberId=65
2026-04-16 11:52:19: time=2026-04-16T11:52:19.771Z level=INFO msg="Context done" subscriberId=65
2026-04-16 11:52:20: time=2026-04-16T11:52:20.777Z level=INFO msg="New subscriber" subscriberId=66
2026-04-16 11:57:19: time=2026-04-16T11:57:19.772Z level=INFO msg="Context done" subscriberId=66
2026-04-16 11:57:20: time=2026-04-16T11:57:20.779Z level=INFO msg="New subscriber" subscriberId=67
2026-04-16 12:02:19: time=2026-04-16T12:02:19.771Z level=INFO msg="Context done" subscriberId=67
2026-04-16 12:02:20: time=2026-04-16T12:02:20.779Z level=INFO msg="New subscriber" subscriberId=68
2026-04-16 12:07:19: time=2026-04-16T12:07:19.771Z level=INFO msg="Context done" subscriberId=68
2026-04-16 12:07:20: time=2026-04-16T12:07:20.778Z level=INFO msg="New subscriber" subscriberId=69
2026-04-16 12:12:19: time=2026-04-16T12:12:19.772Z level=INFO msg="Context done" subscriberId=69
