2026-03-27 02:38:37: time=2026-03-27T02:38:37.581Z level=INFO msg="Running: codex -c mcp_servers.wingman.command=\"bun\" -c mcp_servers.wingman.args=[\"run\",\"/home/pw21/code/wingman/src/mcp/stdio-server.ts\"] -c mcp_servers.wingman.env={ WINGMAN_URL = \"http://localhost:3021\", SESSION_ID = \"78241e2c-fbf0-41d6-883f-58a5e0e95211\", BOT_PUBKEY_HEX = \"ef7dd16da39491e066e31d2403a2ee51dca07d4e2a58bd1ce98c1c848193b992\", BOT_NPUB = \"npub1aa7azmdrjjg7qehrr5jq8ghw28w2ql2w9fvt688f3swgfqvnhxfqfu9jrr\", USER_NPUB = \"npub1qkntvygrrxkc3ynfzw56aq8far9wnxcfjd8d4lfwhnnlnctn4k5sa2d05s\" }"
2026-03-27 02:38:37: time=2026-03-27T02:38:37.585Z level=INFO msg="Allowed hosts: localhost, 127.0.0.1, ::1, dev.otherstuff.studio, dev.otherstuff.ai"
2026-03-27 02:38:37: time=2026-03-27T02:38:37.585Z level=INFO msg="Allowed origins: *"
2026-03-27 02:38:37: time=2026-03-27T02:38:37.585Z level=INFO msg="Created temporary directory for uploads" tempDir=/tmp/agentapi-uploads-2587214436
2026-03-27 02:38:37: time=2026-03-27T02:38:37.598Z level=INFO msg="Starting server on port" port=3700
2026-03-27 02:38:37: time=2026-03-27T02:38:37.877Z level=INFO msg="New subscriber" subscriberId=0
2026-03-27 02:39:06: time=2026-03-27T02:39:06.766Z level=INFO msg="New subscriber" subscriberId=1
2026-03-27 02:46:23: time=2026-03-27T02:46:23.952Z level=INFO msg="Context done" subscriberId=1
2026-03-27 02:46:23: time=2026-03-27T02:46:23.952Z level=INFO msg="Context done" subscriberId=0
2026-03-27 02:46:24: time=2026-03-27T02:46:24.960Z level=INFO msg="New subscriber" subscriberId=2
2026-03-27 02:46:24: time=2026-03-27T02:46:24.961Z level=INFO msg="New subscriber" subscriberId=3
2026-03-27 02:51:23: time=2026-03-27T02:51:23.952Z level=INFO msg="Context done" subscriberId=3
2026-03-27 02:51:23: time=2026-03-27T02:51:23.952Z level=INFO msg="Context done" subscriberId=2
2026-03-27 02:51:24: time=2026-03-27T02:51:24.956Z level=INFO msg="New subscriber" subscriberId=4
2026-03-27 02:51:24: time=2026-03-27T02:51:24.960Z level=INFO msg="New subscriber" subscriberId=5
2026-03-27 02:56:23: time=2026-03-27T02:56:23.952Z level=INFO msg="Context done" subscriberId=5
2026-03-27 02:56:23: time=2026-03-27T02:56:23.952Z level=INFO msg="Context done" subscriberId=4
2026-03-27 02:56:24: time=2026-03-27T02:56:24.961Z level=INFO msg="New subscriber" subscriberId=6
2026-03-27 02:56:24: time=2026-03-27T02:56:24.961Z level=INFO msg="New subscriber" subscriberId=7
2026-03-27 03:01:23: time=2026-03-27T03:01:23.952Z level=INFO msg="Context done" subscriberId=7
2026-03-27 03:01:23: time=2026-03-27T03:01:23.952Z level=INFO msg="Context done" subscriberId=6
2026-03-27 03:01:24: time=2026-03-27T03:01:24.960Z level=INFO msg="New subscriber" subscriberId=8
2026-03-27 03:01:24: time=2026-03-27T03:01:24.961Z level=INFO msg="New subscriber" subscriberId=9
2026-03-27 03:06:23: time=2026-03-27T03:06:23.952Z level=INFO msg="Context done" subscriberId=9
2026-03-27 03:06:23: time=2026-03-27T03:06:23.952Z level=INFO msg="Context done" subscriberId=8
2026-03-27 03:06:24: time=2026-03-27T03:06:24.954Z level=INFO msg="New subscriber" subscriberId=10
2026-03-27 03:06:24: time=2026-03-27T03:06:24.955Z level=INFO msg="New subscriber" subscriberId=11
2026-03-27 03:11:23: time=2026-03-27T03:11:23.952Z level=INFO msg="Context done" subscriberId=11
2026-03-27 03:11:23: time=2026-03-27T03:11:23.952Z level=INFO msg="Context done" subscriberId=10
2026-03-27 03:11:24: time=2026-03-27T03:11:24.955Z level=INFO msg="New subscriber" subscriberId=12
2026-03-27 03:11:24: time=2026-03-27T03:11:24.955Z level=INFO msg="New subscriber" subscriberId=13
2026-03-27 03:15:45: time=2026-03-27T03:15:45.169Z level=INFO msg="New subscriber" subscriberId=14
2026-03-27 03:15:45: time=2026-03-27T03:15:45.185Z level=INFO msg="New subscriber" subscriberId=15
2026-03-27 03:16:07: time=2026-03-27T03:16:07.030Z level=INFO msg="Context done" subscriberId=13
2026-03-27 03:16:08: time=2026-03-27T03:16:08.114Z level=INFO msg="Context done" subscriberId=12
2026-03-27 03:20:23: time=2026-03-27T03:20:23.952Z level=INFO msg="Context done" subscriberId=15
2026-03-27 03:20:23: time=2026-03-27T03:20:23.952Z level=INFO msg="Context done" subscriberId=14
2026-03-27 03:20:24: time=2026-03-27T03:20:24.957Z level=INFO msg="New subscriber" subscriberId=16
2026-03-27 03:20:24: time=2026-03-27T03:20:24.957Z level=INFO msg="New subscriber" subscriberId=17
2026-03-27 03:25:23: time=2026-03-27T03:25:23.952Z level=INFO msg="Context done" subscriberId=16
2026-03-27 03:25:23: time=2026-03-27T03:25:23.954Z level=INFO msg="Context done" subscriberId=17
2026-03-27 03:25:24: time=2026-03-27T03:25:24.957Z level=INFO msg="New subscriber" subscriberId=18
2026-03-27 03:25:24: time=2026-03-27T03:25:24.957Z level=INFO msg="New subscriber" subscriberId=19
2026-03-27 03:30:23: time=2026-03-27T03:30:23.952Z level=INFO msg="Context done" subscriberId=18
2026-03-27 03:30:23: time=2026-03-27T03:30:23.952Z level=INFO msg="Context done" subscriberId=19
2026-03-27 03:30:24: time=2026-03-27T03:30:24.960Z level=INFO msg="New subscriber" subscriberId=20
2026-03-27 03:30:24: time=2026-03-27T03:30:24.961Z level=INFO msg="New subscriber" subscriberId=21
2026-03-27 03:35:23: time=2026-03-27T03:35:23.952Z level=INFO msg="Context done" subscriberId=21
2026-03-27 03:35:23: time=2026-03-27T03:35:23.952Z level=INFO msg="Context done" subscriberId=20
2026-03-27 03:35:24: time=2026-03-27T03:35:24.956Z level=INFO msg="New subscriber" subscriberId=22
