2026-03-13 04:32:33: time=2026-03-13T04:32:33.678Z level=INFO msg="Running: claude "
2026-03-13 04:32:33: time=2026-03-13T04:32:33.687Z level=INFO msg="Allowed hosts: localhost, 127.0.0.1, ::1, dev.otherstuff.studio, dev.otherstuff.ai"
2026-03-13 04:32:33: time=2026-03-13T04:32:33.687Z level=INFO msg="Allowed origins: *"
2026-03-13 04:32:33: time=2026-03-13T04:32:33.689Z level=INFO msg="Created temporary directory for uploads" tempDir=/tmp/agentapi-uploads-210759697
2026-03-13 04:32:33: time=2026-03-13T04:32:33.701Z level=INFO msg="Starting server on port" port=3706
2026-03-13 04:32:34: time=2026-03-13T04:32:34.553Z level=INFO msg="New subscriber" subscriberId=0
2026-03-13 04:32:35: time=2026-03-13T04:32:35.699Z level=INFO msg="New subscriber" subscriberId=1
2026-03-13 04:39:37: time=2026-03-13T04:39:37.221Z level=INFO msg="Context done" subscriberId=0
2026-03-13 04:54:33: time=2026-03-13T04:54:33.385Z level=INFO msg="New subscriber" subscriberId=2
2026-03-13 05:57:35: time=2026-03-13T05:57:35.164Z level=INFO msg="Context done" subscriberId=2
2026-03-13 06:00:31: time=2026-03-13T06:00:31.335Z level=INFO msg="Context done" subscriberId=1
2026-03-13 06:00:32: time=2026-03-13T06:00:32.340Z level=INFO msg="New subscriber" subscriberId=3
2026-03-13 06:02:32: time=2026-03-13T06:02:32.563Z level=INFO msg="Context done" subscriberId=3
2026-03-13 06:13:20: time=2026-03-13T06:13:20.467Z level=INFO msg="New subscriber" subscriberId=4
2026-03-13 06:13:41: time=2026-03-13T06:13:41.419Z level=INFO msg="New subscriber" subscriberId=5
2026-03-13 06:14:11: time=2026-03-13T06:14:11.689Z level=INFO msg="New subscriber" subscriberId=6
2026-03-13 06:14:11: time=2026-03-13T06:14:11.789Z level=INFO msg="New subscriber" subscriberId=7
2026-03-13 06:14:41: time=2026-03-13T06:14:41.612Z level=INFO msg="Context done" subscriberId=5
2026-03-13 06:14:50: time=2026-03-13T06:14:50.610Z level=INFO msg="Context done" subscriberId=4
2026-03-13 06:18:31: time=2026-03-13T06:18:31.335Z level=INFO msg="Context done" subscriberId=7
2026-03-13 06:18:31: time=2026-03-13T06:18:31.337Z level=INFO msg="Context done" subscriberId=6
2026-03-13 06:18:32: time=2026-03-13T06:18:32.342Z level=INFO msg="New subscriber" subscriberId=8
2026-03-13 06:18:32: time=2026-03-13T06:18:32.343Z level=INFO msg="New subscriber" subscriberId=9
2026-03-13 06:23:31: time=2026-03-13T06:23:31.334Z level=INFO msg="Context done" subscriberId=8
2026-03-13 06:23:31: time=2026-03-13T06:23:31.334Z level=INFO msg="Context done" subscriberId=9
2026-03-13 06:23:32: time=2026-03-13T06:23:32.426Z level=INFO msg="New subscriber" subscriberId=10
2026-03-13 06:23:32: time=2026-03-13T06:23:32.426Z level=INFO msg="New subscriber" subscriberId=11
2026-03-13 06:27:30: time=2026-03-13T06:27:30.111Z level=INFO msg="Context done" subscriberId=10
2026-03-13 06:39:31: time=2026-03-13T06:39:31.334Z level=INFO msg="Context done" subscriberId=11
2026-03-13 06:39:32: time=2026-03-13T06:39:32.337Z level=INFO msg="New subscriber" subscriberId=12
2026-03-13 07:34:31: time=2026-03-13T07:34:31.334Z level=INFO msg="Context done" subscriberId=12
2026-03-13 07:34:32: time=2026-03-13T07:34:32.339Z level=INFO msg="New subscriber" subscriberId=13
2026-03-13 07:38:34: time=2026-03-13T07:38:34.343Z level=INFO msg="Context done" subscriberId=13
2026-03-13 07:38:35: time=2026-03-13T07:38:35.383Z level=INFO msg="New subscriber" subscriberId=14
2026-03-13 08:16:31: time=2026-03-13T08:16:31.334Z level=INFO msg="Context done" subscriberId=14
2026-03-13 08:16:32: time=2026-03-13T08:16:32.339Z level=INFO msg="New subscriber" subscriberId=15
2026-03-13 08:21:31: time=2026-03-13T08:21:31.334Z level=INFO msg="Context done" subscriberId=15
2026-03-13 08:21:32: time=2026-03-13T08:21:32.338Z level=INFO msg="New subscriber" subscriberId=16
2026-03-13 08:26:31: time=2026-03-13T08:26:31.334Z level=INFO msg="Context done" subscriberId=16
2026-03-13 08:26:32: time=2026-03-13T08:26:32.337Z level=INFO msg="New subscriber" subscriberId=17
2026-03-13 08:41:31: time=2026-03-13T08:41:31.334Z level=INFO msg="Context done" subscriberId=17
2026-03-13 08:41:32: time=2026-03-13T08:41:32.340Z level=INFO msg="New subscriber" subscriberId=18
2026-03-13 09:06:31: time=2026-03-13T09:06:31.334Z level=INFO msg="Context done" subscriberId=18
2026-03-13 09:06:32: time=2026-03-13T09:06:32.349Z level=INFO msg="New subscriber" subscriberId=19
2026-03-13 09:11:31: time=2026-03-13T09:11:31.334Z level=INFO msg="Context done" subscriberId=19
2026-03-13 09:11:32: time=2026-03-13T09:11:32.340Z level=INFO msg="New subscriber" subscriberId=20
2026-03-13 09:23:31: time=2026-03-13T09:23:31.334Z level=INFO msg="Context done" subscriberId=20
2026-03-13 09:23:32: time=2026-03-13T09:23:32.339Z level=INFO msg="New subscriber" subscriberId=21
2026-03-13 09:31:57: time=2026-03-13T09:31:57.020Z level=INFO msg="Context done" subscriberId=21
2026-03-19 05:21:10: time=2026-03-19T05:21:10.100Z level=INFO msg="New subscriber" subscriberId=22
