2026-03-31 01:25:22: time=2026-03-31T01:25:22.777Z level=INFO msg="Running: codex -c mcp_servers.wingman.command=\"bun\" -c mcp_servers.wingman.args=[\"run\",\"/home/pw21/code/wingman/src/mcp/stdio-server.ts\"] -c mcp_servers.wingman.env={ WINGMAN_URL = \"http://localhost:3021\", SESSION_ID = \"6ac3748d-b876-4b7f-a33e-71822e44c9a3\", BOT_PUBKEY_HEX = \"ef7dd16da39491e066e31d2403a2ee51dca07d4e2a58bd1ce98c1c848193b992\", BOT_NPUB = \"npub1aa7azmdrjjg7qehrr5jq8ghw28w2ql2w9fvt688f3swgfqvnhxfqfu9jrr\", USER_NPUB = \"npub1qkntvygrrxkc3ynfzw56aq8far9wnxcfjd8d4lfwhnnlnctn4k5sa2d05s\" }"
2026-03-31 01:25:22: time=2026-03-31T01:25:22.785Z level=INFO msg="Allowed hosts: localhost, 127.0.0.1, ::1, dev.otherstuff.studio, dev.otherstuff.ai"
2026-03-31 01:25:22: time=2026-03-31T01:25:22.785Z level=INFO msg="Allowed origins: *"
2026-03-31 01:25:22: time=2026-03-31T01:25:22.785Z level=INFO msg="Created temporary directory for uploads" tempDir=/tmp/agentapi-uploads-4227694745
2026-03-31 01:25:22: time=2026-03-31T01:25:22.799Z level=INFO msg="Starting server on port" port=3700
2026-03-31 01:25:23: time=2026-03-31T01:25:23.185Z level=INFO msg="New subscriber" subscriberId=0
2026-03-31 01:30:23: time=2026-03-31T01:30:23.952Z level=INFO msg="Context done" subscriberId=0
2026-03-31 01:30:24: time=2026-03-31T01:30:24.962Z level=INFO msg="New subscriber" subscriberId=1
2026-03-31 01:35:23: time=2026-03-31T01:35:23.952Z level=INFO msg="Context done" subscriberId=1
2026-03-31 01:35:24: time=2026-03-31T01:35:24.957Z level=INFO msg="New subscriber" subscriberId=2
2026-03-31 01:40:23: time=2026-03-31T01:40:23.952Z level=INFO msg="Context done" subscriberId=2
2026-03-31 01:40:24: time=2026-03-31T01:40:24.957Z level=INFO msg="New subscriber" subscriberId=3
2026-03-31 01:49:23: time=2026-03-31T01:49:23.952Z level=INFO msg="Context done" subscriberId=3
2026-03-31 01:49:24: time=2026-03-31T01:49:24.961Z level=INFO msg="New subscriber" subscriberId=4
2026-03-31 01:54:23: time=2026-03-31T01:54:23.952Z level=INFO msg="Context done" subscriberId=4
2026-03-31 01:54:24: time=2026-03-31T01:54:24.960Z level=INFO msg="New subscriber" subscriberId=5
2026-03-31 01:59:23: time=2026-03-31T01:59:23.952Z level=INFO msg="Context done" subscriberId=5
2026-03-31 01:59:24: time=2026-03-31T01:59:24.955Z level=INFO msg="New subscriber" subscriberId=6
2026-03-31 02:07:23: time=2026-03-31T02:07:23.952Z level=INFO msg="Context done" subscriberId=6
2026-03-31 02:07:24: time=2026-03-31T02:07:24.957Z level=INFO msg="New subscriber" subscriberId=7
2026-03-31 02:12:23: time=2026-03-31T02:12:23.952Z level=INFO msg="Context done" subscriberId=7
2026-03-31 02:12:24: time=2026-03-31T02:12:24.958Z level=INFO msg="New subscriber" subscriberId=8
2026-03-31 02:17:23: time=2026-03-31T02:17:23.952Z level=INFO msg="Context done" subscriberId=8
2026-03-31 02:17:24: time=2026-03-31T02:17:24.959Z level=INFO msg="New subscriber" subscriberId=9
2026-03-31 02:22:23: time=2026-03-31T02:22:23.952Z level=INFO msg="Context done" subscriberId=9
2026-03-31 02:22:24: time=2026-03-31T02:22:24.962Z level=INFO msg="New subscriber" subscriberId=10
2026-03-31 02:27:23: time=2026-03-31T02:27:23.952Z level=INFO msg="Context done" subscriberId=10
