2026-04-12 05:53:39: time=2026-04-12T05:53:39.296Z level=INFO msg="Running: codex -c mcp_servers.wingman.command=\"bun\" -c mcp_servers.wingman.args=[\"run\",\"/home/pw21/code/wingman/src/mcp/stdio-server.ts\"] -c mcp_servers.wingman.env={ WINGMAN_URL = \"http://localhost:3021\", SESSION_ID = \"828eb32f-283e-453e-a7fc-fcf4319979cc\", BOT_PUBKEY_HEX = \"ef7dd16da39491e066e31d2403a2ee51dca07d4e2a58bd1ce98c1c848193b992\", BOT_NPUB = \"npub1aa7azmdrjjg7qehrr5jq8ghw28w2ql2w9fvt688f3swgfqvnhxfqfu9jrr\", USER_NPUB = \"npub1qkntvygrrxkc3ynfzw56aq8far9wnxcfjd8d4lfwhnnlnctn4k5sa2d05s\", AGENT_NSEC = \"db2063e0a8f829ef9f0cfdf60b9e1adcee1feb61d1a663a4b125d1627686c7a9\" }"
2026-04-12 05:53:39: time=2026-04-12T05:53:39.305Z level=INFO msg="Allowed hosts: localhost, 127.0.0.1, ::1, dev.otherstuff.studio, dev.otherstuff.ai"
2026-04-12 05:53:39: time=2026-04-12T05:53:39.305Z level=INFO msg="Allowed origins: *"
2026-04-12 05:53:39: time=2026-04-12T05:53:39.305Z level=INFO msg="Created temporary directory for uploads" tempDir=/tmp/agentapi-uploads-407594657
2026-04-12 05:53:39: time=2026-04-12T05:53:39.318Z level=INFO msg="Starting server on port" port=3704
2026-04-12 05:53:40: time=2026-04-12T05:53:40.446Z level=INFO msg="New subscriber" subscriberId=0
2026-04-12 06:02:43: time=2026-04-12T06:02:43.337Z level=INFO msg="Context done" subscriberId=0
2026-04-12 06:02:44: time=2026-04-12T06:02:44.340Z level=INFO msg="New subscriber" subscriberId=1
2026-04-12 06:07:43: time=2026-04-12T06:07:43.337Z level=INFO msg="Context done" subscriberId=1
2026-04-12 06:07:44: time=2026-04-12T06:07:44.339Z level=INFO msg="New subscriber" subscriberId=2
2026-04-12 06:12:43: time=2026-04-12T06:12:43.337Z level=INFO msg="Context done" subscriberId=2
2026-04-12 06:12:44: time=2026-04-12T06:12:44.341Z level=INFO msg="New subscriber" subscriberId=3
2026-04-12 06:17:43: time=2026-04-12T06:17:43.337Z level=INFO msg="Context done" subscriberId=3
2026-04-12 06:17:44: time=2026-04-12T06:17:44.339Z level=INFO msg="New subscriber" subscriberId=4
2026-04-12 06:22:43: time=2026-04-12T06:22:43.337Z level=INFO msg="Context done" subscriberId=4
2026-04-12 06:22:44: time=2026-04-12T06:22:44.339Z level=INFO msg="New subscriber" subscriberId=5
2026-04-12 06:27:43: time=2026-04-12T06:27:43.337Z level=INFO msg="Context done" subscriberId=5
2026-04-12 06:27:44: time=2026-04-12T06:27:44.341Z level=INFO msg="New subscriber" subscriberId=6
