2026-03-26 10:46:23: time=2026-03-26T10:46:23.723Z level=INFO msg="Running: claude "
2026-03-26 10:46:23: time=2026-03-26T10:46:23.730Z level=INFO msg="Allowed hosts: localhost, 127.0.0.1, ::1, dev.otherstuff.studio, dev.otherstuff.ai"
2026-03-26 10:46:23: time=2026-03-26T10:46:23.730Z level=INFO msg="Allowed origins: *"
2026-03-26 10:46:23: time=2026-03-26T10:46:23.731Z level=INFO msg="Created temporary directory for uploads" tempDir=/tmp/agentapi-uploads-1641616680
2026-03-26 10:46:23: time=2026-03-26T10:46:23.751Z level=INFO msg="Starting server on port" port=3700
2026-03-26 10:46:23: time=2026-03-26T10:46:23.849Z level=INFO msg="New subscriber" subscriberId=0
2026-03-26 10:46:24: time=2026-03-26T10:46:24.103Z level=INFO msg="New subscriber" subscriberId=1
2026-03-26 10:59:46: time=2026-03-26T10:59:46.061Z level=INFO msg="Context done" subscriberId=1
2026-03-26 10:59:46: time=2026-03-26T10:59:46.061Z level=INFO msg="Context done" subscriberId=0
2026-03-26 10:59:47: time=2026-03-26T10:59:47.073Z level=INFO msg="New subscriber" subscriberId=2
2026-03-26 10:59:47: time=2026-03-26T10:59:47.073Z level=INFO msg="New subscriber" subscriberId=3
2026-03-26 11:10:46: time=2026-03-26T11:10:46.062Z level=INFO msg="Context done" subscriberId=3
2026-03-26 11:10:46: time=2026-03-26T11:10:46.062Z level=INFO msg="Context done" subscriberId=2
2026-03-26 11:10:47: time=2026-03-26T11:10:47.067Z level=INFO msg="New subscriber" subscriberId=4
2026-03-26 11:10:47: time=2026-03-26T11:10:47.067Z level=INFO msg="New subscriber" subscriberId=5
2026-03-26 11:13:42: time=2026-03-26T11:13:42.280Z level=INFO msg="New subscriber" subscriberId=6
2026-03-26 11:13:43: time=2026-03-26T11:13:43.175Z level=INFO msg="New subscriber" subscriberId=7
2026-03-26 11:13:54: time=2026-03-26T11:13:54.032Z level=INFO msg="Context done" subscriberId=5
2026-03-26 11:13:54: time=2026-03-26T11:13:54.279Z level=INFO msg="Context done" subscriberId=4
2026-03-26 11:16:11: time=2026-03-26T11:16:11.727Z level=INFO msg="New subscriber" subscriberId=8
2026-03-26 11:16:12: time=2026-03-26T11:16:12.361Z level=INFO msg="Context done" subscriberId=6
2026-03-26 11:16:27: time=2026-03-26T11:16:27.848Z level=INFO msg="Context done" subscriberId=7
2026-03-26 11:24:46: time=2026-03-26T11:24:46.062Z level=INFO msg="Context done" subscriberId=8
2026-03-26 11:24:47: time=2026-03-26T11:24:47.067Z level=INFO msg="New subscriber" subscriberId=9
2026-03-26 11:35:46: time=2026-03-26T11:35:46.062Z level=INFO msg="Context done" subscriberId=9
2026-03-26 11:35:47: time=2026-03-26T11:35:47.073Z level=INFO msg="New subscriber" subscriberId=10
2026-03-26 11:41:02: time=2026-03-26T11:41:02.075Z level=INFO msg="New subscriber" subscriberId=11
2026-03-26 11:41:11: time=2026-03-26T11:41:11.935Z level=INFO msg="Context done" subscriberId=10
2026-03-26 11:45:46: time=2026-03-26T11:45:46.061Z level=INFO msg="Context done" subscriberId=11
2026-03-26 11:45:47: time=2026-03-26T11:45:47.064Z level=INFO msg="New subscriber" subscriberId=12
2026-03-26 11:50:46: time=2026-03-26T11:50:46.062Z level=INFO msg="Context done" subscriberId=12
2026-03-26 11:50:47: time=2026-03-26T11:50:47.067Z level=INFO msg="New subscriber" subscriberId=13
2026-03-26 11:55:46: time=2026-03-26T11:55:46.061Z level=INFO msg="Context done" subscriberId=13
2026-03-26 11:55:47: time=2026-03-26T11:55:47.070Z level=INFO msg="New subscriber" subscriberId=14
2026-03-26 12:00:46: time=2026-03-26T12:00:46.062Z level=INFO msg="Context done" subscriberId=14
2026-03-26 12:00:47: time=2026-03-26T12:00:47.064Z level=INFO msg="New subscriber" subscriberId=15
2026-03-26 12:08:46: time=2026-03-26T12:08:46.061Z level=INFO msg="Context done" subscriberId=15
2026-03-26 12:08:47: time=2026-03-26T12:08:47.067Z level=INFO msg="New subscriber" subscriberId=16
2026-03-26 12:09:05: time=2026-03-26T12:09:05.359Z level=INFO msg="New subscriber" subscriberId=17
2026-03-26 12:09:32: time=2026-03-26T12:09:32.278Z level=INFO msg="Context done" subscriberId=16
2026-03-26 12:11:56: time=2026-03-26T12:11:56.387Z level=INFO msg="New subscriber" subscriberId=18
2026-03-26 12:12:35: time=2026-03-26T12:12:35.453Z level=INFO msg="Context done" subscriberId=17
2026-03-26 12:13:30: time=2026-03-26T12:13:30.158Z level=INFO msg="New subscriber" subscriberId=19
2026-03-26 12:13:56: time=2026-03-26T12:13:56.459Z level=INFO msg="Context done" subscriberId=18
2026-03-26 12:21:46: time=2026-03-26T12:21:46.061Z level=INFO msg="Context done" subscriberId=19
2026-03-26 12:21:47: time=2026-03-26T12:21:47.066Z level=INFO msg="New subscriber" subscriberId=20
2026-03-26 12:26:46: time=2026-03-26T12:26:46.062Z level=INFO msg="Context done" subscriberId=20
2026-03-26 12:26:47: time=2026-03-26T12:26:47.068Z level=INFO msg="New subscriber" subscriberId=21
2026-03-26 12:31:46: time=2026-03-26T12:31:46.061Z level=INFO msg="Context done" subscriberId=21
2026-03-26 12:31:47: time=2026-03-26T12:31:47.065Z level=INFO msg="New subscriber" subscriberId=22
2026-03-26 12:36:46: time=2026-03-26T12:36:46.061Z level=INFO msg="Context done" subscriberId=22
2026-03-26 12:36:47: time=2026-03-26T12:36:47.067Z level=INFO msg="New subscriber" subscriberId=23
2026-03-26 12:41:46: time=2026-03-26T12:41:46.061Z level=INFO msg="Context done" subscriberId=23
2026-03-26 12:41:47: time=2026-03-26T12:41:47.063Z level=INFO msg="New subscriber" subscriberId=24
2026-03-26 12:46:46: time=2026-03-26T12:46:46.061Z level=INFO msg="Context done" subscriberId=24
2026-03-26 12:46:47: time=2026-03-26T12:46:47.066Z level=INFO msg="New subscriber" subscriberId=25
2026-03-26 12:51:46: time=2026-03-26T12:51:46.062Z level=INFO msg="Context done" subscriberId=25
2026-03-26 12:51:47: time=2026-03-26T12:51:47.066Z level=INFO msg="New subscriber" subscriberId=26
2026-03-26 12:56:18: time=2026-03-26T12:56:18.376Z level=INFO msg="New subscriber" subscriberId=27
2026-03-26 12:56:30: time=2026-03-26T12:56:30.422Z level=INFO msg="Context done" subscriberId=26
