2026-04-16 04:28:19: time=2026-04-16T04:28:19.749Z level=INFO msg="Running: codex -c mcp_servers.wingman.command=\"bun\" -c mcp_servers.wingman.args=[\"run\",\"/home/pw21/code/wingman/src/mcp/stdio-server.ts\"] -c mcp_servers.wingman.env={ WINGMAN_URL = \"http://localhost:3021\", SESSION_ID = \"ce9e6b83-a967-4348-b041-a27df3fdb4e8\", BOT_PUBKEY_HEX = \"ef7dd16da39491e066e31d2403a2ee51dca07d4e2a58bd1ce98c1c848193b992\", BOT_NPUB = \"npub1aa7azmdrjjg7qehrr5jq8ghw28w2ql2w9fvt688f3swgfqvnhxfqfu9jrr\", USER_NPUB = \"npub1qkntvygrrxkc3ynfzw56aq8far9wnxcfjd8d4lfwhnnlnctn4k5sa2d05s\", AGENT_NSEC = \"db2063e0a8f829ef9f0cfdf60b9e1adcee1feb61d1a663a4b125d1627686c7a9\" }"
2026-04-16 04:28:19: time=2026-04-16T04:28:19.753Z level=INFO msg="Allowed hosts: localhost, 127.0.0.1, ::1, dev.otherstuff.studio, dev.otherstuff.ai"
2026-04-16 04:28:19: time=2026-04-16T04:28:19.753Z level=INFO msg="Allowed origins: *"
2026-04-16 04:28:19: time=2026-04-16T04:28:19.753Z level=INFO msg="Created temporary directory for uploads" tempDir=/tmp/agentapi-uploads-2128876725
2026-04-16 04:28:19: time=2026-04-16T04:28:19.768Z level=INFO msg="Starting server on port" port=3700
2026-04-16 04:28:20: time=2026-04-16T04:28:20.133Z level=INFO msg="New subscriber" subscriberId=0
2026-04-16 04:28:22: time=2026-04-16T04:28:22.170Z level=INFO msg="Context done" subscriberId=0
2026-04-16 04:28:30: time=2026-04-16T04:28:30.970Z level=INFO msg="New subscriber" subscriberId=1
2026-04-16 04:28:43: time=2026-04-16T04:28:43.617Z level=INFO msg="Context done" subscriberId=1
2026-04-16 06:31:06: time=2026-04-16T06:31:06.055Z level=INFO msg="New subscriber" subscriberId=2
2026-04-16 06:35:19: time=2026-04-16T06:35:19.772Z level=INFO msg="Context done" subscriberId=2
2026-04-16 06:35:20: time=2026-04-16T06:35:20.781Z level=INFO msg="New subscriber" subscriberId=3
2026-04-16 06:40:19: time=2026-04-16T06:40:19.772Z level=INFO msg="Context done" subscriberId=3
2026-04-16 06:40:20: time=2026-04-16T06:40:20.781Z level=INFO msg="New subscriber" subscriberId=4
2026-04-16 06:45:19: time=2026-04-16T06:45:19.772Z level=INFO msg="Context done" subscriberId=4
2026-04-16 06:45:20: time=2026-04-16T06:45:20.780Z level=INFO msg="New subscriber" subscriberId=5
2026-04-16 06:50:19: time=2026-04-16T06:50:19.771Z level=INFO msg="Context done" subscriberId=5
